"Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Pick","BMI"
"CB",71,190,4.42,12,NA,22,NA,NA,109,26.4967268399127
"DT",76,300,5.08,16,4,37,7.46,4.37,194,36.5131578947368
"WR",73,202,4.56,10.5,NA,22,7.3,4.25,242,26.6477763182586
"RB",72,240,4.58,NA,26,NA,NA,NA,5,32.5462962962963
"ILB",76,259,4.7,11,27,29,6.86,4.06,87,31.5230263157895
"CB",69,194,4.54,8.5,NA,27,6.9,4.09,91,28.6456626759084
"CB",69,184,4.44,10.5,29,30,6.73,4,130,27.1690821256039
"QB",74,227,4.58,11.5,NA,34,NA,NA,163,29.1418918918919
"OT",77,361,5.5,NA,25,NA,NA,NA,20,42.8036768426379
"OT",76,328,5.31,20,26,50,7.72,4.71,83,39.9210526315789
"OT",78,315,5.39,NA,21,NA,NA,NA,22,36.3979289940828
"DT",76,289,5.09,18.5,27,45,7.73,4.61,120,35.1743421052632
"RB",72,212,4.69,13,NA,27,6.89,4.15,252,28.7492283950617
"C",75,298,5.12,12,24,37,7.46,4.43,60,37.2433777777778
"DE",77,284,4.99,15.5,22,34,7.49,4.52,241,33.6738067127678
"OLB",71,223,4.6,NA,28,NA,NA,NA,89,31.0987899226344
"RB",73,231,4.57,10,26,30,NA,NA,115,30.4734471758304
"WR",75,216,4.6,11.5,NA,28,7.06,4.17,21,26.9952
"FB",72,221,4.65,8.5,26,30,7.05,4.21,156,29.9697145061728
"ILB",74,250,4.77,13,31,34,6.93,4.17,28,32.0945945945946
"SS",69,211,4.56,NA,25,NA,NA,NA,135,31.1558496114262
"RB",68,182,4.5,10,31,26,NA,NA,166,27.6699826989619
"FS",73,183,4.56,8.5,NA,24,7.04,4.1,124,24.1413023081254
"WR",70,175,4.43,8.5,NA,24,6.96,4.04,32,25.1071428571429
"CB",71,193,4.6,NA,NA,NA,NA,NA,15,26.9150962110692
"SS",73,208,4.63,11,32,32,6.81,4.21,236,27.4392944267217
"QB",75,229,4.81,12.5,NA,36,7.12,4.16,18,28.6199111111111
"OLB",77,231,4.68,NA,NA,NA,NA,NA,16,27.3896103896104
"WR",74,205,4.66,6.5,NA,18,6.93,4.13,172,26.3175675675676
"WR",74,169,4.45,NA,NA,NA,NA,NA,36,21.6959459459459
"CB",71,191,4.43,NA,NA,NA,NA,NA,24,26.6361832969649
"OLB",74,233,4.75,14,31,36,7.43,4.45,251,29.9121621621622
"WR",74,221,4.48,NA,NA,NA,NA,NA,47,28.3716216216216
"CB",70,197,4.57,9,33,21,6.66,4,77,28.2634693877551
"RB",72,225,4.5,9,26,32,6.92,4.4,63,30.5121527777778
"OT",78,333,5.59,20,27,52,8.15,5.13,127,38.4778106508876
"QB",72,215,4.91,20.5,NA,47,7.34,4.21,212,29.1560570987654
"QB",75,222,5.37,19.5,NA,49,7.8,4.78,75,27.7450666666667
"RB",71,216,4.48,13.5,NA,26,NA,NA,76,30.1225947232692
"OT",75,299,5.37,19.5,29,48,7.49,4.88,131,37.3683555555556
"DT",76,312,5.09,16.5,24,53,7.72,4.72,55,37.9736842105263
"CB",71,188,4.55,NA,NA,NA,NA,NA,34,26.2178139258084
"OT",77,325,5.08,NA,NA,NA,NA,NA,3,38.5351661325687
"CB",72,202,4.5,9,39,31,NA,NA,95,27.3931327160494
"OLB",75,241,4.75,13.5,NA,36,7.33,4.38,215,30.1196444444444
"WR",72,194,4.59,12.5,NA,28,NA,NA,99,26.3082561728395
"CB",70,193,4.5,12,38,31,7.45,4.24,179,27.6895918367347
"FB",76,253,4.81,8.5,NA,33,6.72,4.3,110,30.7927631578947
"CB",73,195,4.53,11,44,27,NA,NA,62,25.7243385250516
"OT",77,318,5.65,23.5,31,49,8.48,4.81,237,37.7051779389442
"ILB",75,252,4.72,NA,NA,NA,NA,NA,105,31.4944
"DT",74,297,4.83,NA,NA,NA,NA,NA,6,38.1283783783784
"OLB",72,237,4.6,10,25,30,7.08,4.09,67,32.1394675925926
"ILB",74,246,4.84,11.5,29,32,7.21,4.27,128,31.5810810810811
"ILB",72,247,4.87,16,25,35,7.08,4.26,92,33.4955632716049
"OT",77,320,5.37,18.5,25,47,7.87,4.83,38,37.9423174228369
"FB",71,220,4.65,NA,24,NA,NA,NA,132,30.6804205514779
"DE",76,275,4.88,NA,NA,NA,NA,NA,197,33.4703947368421
"FB",72,249,5,13.5,30,38,8.38,4.85,96,33.7667824074074
"WR",69,177,4.34,11,NA,23,NA,NA,29,26.1354757403907
"TE",75,250,4.78,8,25,32,6.84,4.14,141,31.2444444444444
"RB",67,204,4.6,11,36,36,7.14,4.14,243,31.9474270438851
"TE",75,255,4.75,NA,18,NA,NA,NA,164,31.8693333333333
"OG",75,318,5.37,19,27,57,7.91,4.84,224,39.7429333333333
"OLB",75,249,4.65,11.5,NA,32,NA,NA,184,31.1194666666667
"WR",73,199,4.43,9,NA,29,7.15,NA,10,26.252017264027
"DE",74,270,4.56,7.5,NA,27,NA,4.42,186,34.6621621621622
"OG",75,300,5.22,16.5,26,47,7.99,NA,222,37.4933333333333
"OT",76,305,5.28,20,33,43,7.99,4.73,100,37.1217105263158
"OLB",75,220,4.65,NA,NA,NA,NA,NA,41,27.4951111111111
"FS",73,194,4.6,8.5,34,24,6.95,4.29,58,25.5924188403077
"DT",77,310,5.26,17.5,30,48,7.72,4.6,136,36.7566200033732
"ILB",72,249,4.65,14,25,38,7.23,4.3,86,33.7667824074074
"OLB",76,258,4.59,12,22,25,6.94,4.18,9,31.4013157894737
"CB",71,196,4.53,9.5,35,26,7.09,4.16,211,27.3334655822257
"OT",80,326,5.22,18.5,20,46,7.68,4.68,53,35.8090625
"DT",74,293,4.82,NA,NA,NA,NA,NA,71,37.6148648648649
"WR",66,171,4.55,13.5,NA,41,6.61,3.84,165,27.5971074380165
"DT",73,307,5.1,15.5,20,42,7.97,4.56,74,40.4993432163633
"WR",71,194,4.58,NA,NA,NA,NA,NA,4,27.0545526681214
"CB",69,180,4.42,10.5,32,25,6.76,3.98,48,26.578449905482
"TE",74,228,4.78,15,NA,37,7.42,4.22,157,29.2702702702703
"TE",76,254,4.66,13.5,NA,26,6.97,4.18,158,30.9144736842105
"CB",69,179,4.51,11,38,32,7.21,4.27,203,26.4307918504516
"WR",73,218,4.62,8.5,NA,23,6.91,4.09,69,28.7584912741603
"RB",71,193,4.5,NA,NA,NA,NA,NA,144,26.9150962110692
"OT",76,332,5.26,17,21,50,7.78,4.72,61,40.4078947368421
"WR",71,180,4.59,10,NA,24,7.22,4.16,175,25.102162269391
"DT",75,282,4.9,15.5,NA,36,7.22,4.25,122,35.2437333333333
"OLB",74,245,4.56,NA,38,NA,NA,NA,106,31.4527027027027
"DT",74,290,5.21,15.5,26,38,NA,NA,191,37.2297297297297
"QB",75,229,4.91,12,NA,39,7.71,4.59,183,28.6199111111111
"DE",74,278,4.94,16.5,22,41,7.2,4.47,139,35.6891891891892
"OLB",71,219,4.82,NA,25,43,NA,NA,232,30.5409640944257
"FS",72,210,4.55,NA,NA,NA,NA,NA,163,28.4780092592593
"CB",70,192,4.44,6.5,35,26,6.78,3.9,22,27.5461224489796
"OLB",72,238,4.65,NA,24,NA,NA,NA,83,32.2750771604938
"WR",74,184,4.57,11.5,NA,32,NA,NA,148,23.6216216216216
"SS",72,211,4.46,NA,18,NA,NA,NA,20,28.6136188271605
"TE",76,255,4.76,13,27,41,7.12,4.19,141,31.0361842105263
"OT",77,310,5.37,19,24,48,8.27,4.67,18,36.7566200033732
"DE",75,283,5.1,NA,NA,NA,NA,NA,181,35.3687111111111
"WR",77,201,4.47,15.5,NA,37,NA,NA,140,23.8325181312194
"RB",73,235,4.56,NA,NA,NA,NA,NA,80,31.0011259148058
"FS",74,206,4.56,6,27,21,7.14,4.2,37,26.4459459459459
"CB",74,204,4.53,8.5,NA,25,7.39,4.21,62,26.1891891891892
"DE",76,270,4.83,11.5,24,37,7.32,4.28,107,32.8618421052632
"DT",73,319,5.32,NA,32,49,8.07,4.71,123,42.0823794332895
"ILB",73,234,4.64,7.5,25,23,7.25,4.5,39,30.8692062300619
"RB",69,207,4.38,6.5,36,17,NA,NA,27,30.5652173913043
"WR",71,191,4.43,6.5,NA,25,6.78,4.08,159,26.6361832969649
"SS",70,217,4.6,NA,27,NA,NA,NA,91,31.1328571428571
"CB",71,210,4.54,9,32,26,7.03,4.28,210,29.2858559809562
"DT",75,316,4.93,NA,NA,NA,NA,NA,93,39.4929777777778
"RB",70,194,4.36,10.5,31,28,7.05,4.09,150,27.8330612244898
"QB",74,221,4.9,16.5,NA,42,7.54,4.48,172,28.3716216216216
"DE",76,270,4.75,9.5,23,28,6.82,4.08,34,32.8618421052632
"SS",71,207,4.59,13.5,NA,30,7.29,4.24,94,28.8674866097996
"QB",72,213,4.83,14,NA,42,7.09,4.21,32,28.884837962963
"TE",76,255,4.73,10,35,30,7.37,4.18,66,31.0361842105263
"RB",72,226,4.53,6,38,24,7.08,4.06,121,30.647762345679
"DE",74,264,4.92,6,25,22,7.85,NA,63,33.8918918918919
"CB",70,173,4.57,10,38,26,7.22,4.4,145,24.8202040816327
"FS",72,214,4.59,12,28,41,7.14,4.18,244,29.0204475308642
"QB",74,225,4.58,10.5,NA,34,7.12,4.12,53,28.8851351351351
"DE",76,249,4.84,7.5,29,15,NA,4.24,7,30.3059210526316
"ILB",76,227,4.67,8.5,26,29,7.66,4.25,55,27.6282894736842
"WR",72,210,4.33,1,NA,13,NA,4,52,28.4780092592593
"OLB",74,238,4.77,6,25,28,7.34,4.21,157,30.5540540540541
"CB",71,209,4.38,NA,NA,NA,NA,NA,21,29.146399523904
"CB",69,181,4.55,NA,38,NA,NA,NA,67,26.7261079605125
"RB",72,193,4.42,11,41,27,6.96,4.07,228,26.1726466049383
"FB",70,226,4.8,16.5,32,39,7.55,4.38,174,32.4240816326531
"SS",72,222,4.45,4.5,NA,17,6.87,3.9,143,30.1053240740741
"DE",77,272,4.95,10.5,25,33,7.12,4.21,184,32.2509698094114
