"Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Pick","BMI"
"OLB",74,227,4.65,8.5,29,27,7,4.08,96,29.1418918918919
"FS",73,218,4.63,9.5,NA,25,7.19,NA,59,28.7584912741603
"RB",72,227,4.38,8,NA,27,NA,NA,30,30.7833719135802
"RB",70,217,4.47,8.5,NA,26,6.97,4.12,43,31.1328571428571
"RB",73,249,4.55,NA,NA,NA,NA,NA,55,32.8480015012197
"OT",76,296,4.97,15,22,33,7.81,4.58,132,36.0263157894737
"FB",71,254,5.02,16,24,44,NA,NA,156,35.4219400912517
"ILB",74,244,4.71,15.5,NA,39,6.98,3.88,116,31.3243243243243
"WR",74,244,4.6,12.5,31,28,6.78,4.16,169,31.3243243243243
"QB",75,228,4.84,18,NA,35,7.22,4.08,148,28.4949333333333
"DE",75,263,4.69,10.5,14,21,7.01,4.07,42,32.8691555555556
"DT",73,303,5.09,NA,NA,NA,NA,NA,142,39.9716644773879
"C",75,290,5.26,19,31,50,7.71,4.47,167,36.2435555555556
"OLB",73,240,4.55,11.5,23,34,6.91,4.06,37,31.660724338525
"DT",75,309,5.15,NA,18,NA,NA,NA,139,38.6181333333333
"CB",72,197,4.53,11,NA,31,NA,NA,85,26.7150848765432
"FS",72,204,4.6,9,38,26,7.28,4.07,198,27.6643518518519
"OLB",72,227,4.78,11.5,24,26,7.06,4.28,140,30.7833719135802
"OG",76,308,5.16,17,22,47,7.85,4.56,84,37.4868421052632
"QB",74,224,4.73,13,NA,31,NA,NA,22,28.7567567567568
"WR",71,199,4.51,8,NA,23,7.06,4.17,171,27.7518349533823
"WR",73,191,4.57,12,NA,29,NA,NA,149,25.1966597860762
"QB",77,221,4.9,NA,NA,NA,NA,NA,1,26.2039129701467
"QB",74,228,4.79,NA,NA,NA,NA,NA,225,29.2702702702703
"QB",76,208,4.71,8.5,NA,22,6.74,4.21,106,25.3157894736842
"DE",78,255,4.62,12.5,22,NA,NA,NA,249,29.4649901380671
"OT",78,304,5.26,18.5,18,49,NA,NA,207,35.1268902038133
"TE",77,264,4.92,17,31,32,7.36,4.09,241,31.3024118738404
"WR",71,203,4.46,17,NA,35,6.98,4.08,195,28.309660781591
"ILB",75,224,4.66,11.5,26,27,6.85,3.93,80,27.9950222222222
"OT",78,308,5.09,16.5,28,42,7.75,4.6,180,35.5890861275477
"RB",71,209,4.65,11,NA,29,7.05,4.12,119,29.146399523904
"WR",78,211,4.55,12,NA,25,6.84,4.16,199,24.3808349769888
"WR",76,229,4.51,5,NA,17,7.34,4.22,134,27.8717105263158
"QB",78,246,5.19,19.5,NA,47,7.73,4.46,202,28.4250493096647
"DE",78,274,4.71,9,28,33,7.3,4.44,57,31.6604207758054
"OT",75,302,5.29,17,NA,55,8.25,4.71,209,37.7432888888889
"DT",77,315,4.96,12.5,8,37,7.61,4.41,35,37.3494687131051
"WR",70,179,4.39,10,NA,NA,NA,NA,105,25.6810204081633
"QB",74,231,4.98,12.5,NA,32,6.89,4.11,250,29.6554054054054
"RB",72,224,4.56,NA,30,NA,NA,NA,26,30.3765432098765
"OG",76,312,5.46,21.5,26,52,7.87,4.68,83,37.9736842105263
"DE",75,255,4.78,13,NA,33,6.95,4.23,98,31.8693333333333
"QB",75,233,4.79,15.5,NA,38,7.19,4.3,217,29.1198222222222
"CB",70,194,4.47,NA,33,NA,NA,NA,102,27.8330612244898
"OLB",73,226,4.7,NA,NA,29,NA,4.26,107,29.8138487521111
"OLB",71,230,4.71,NA,25,41,NA,NA,222,32.0749851219996
"FS",72,197,4.57,6.5,NA,31,7.15,4,186,26.7150848765432
"CB",70,194,4.56,NA,38,NA,NA,NA,49,27.8330612244898
"FS",71,203,4.56,NA,NA,NA,NA,NA,113,28.309660781591
"ILB",75,251,4.76,13.5,31,31,7.17,3.94,165,31.3694222222222
"OT",78,319,5.41,18,18,42,7.97,4.66,246,36.8601249178172
"QB",77,229,5.08,NA,NA,NA,NA,NA,4,27.1524709057177
"CB",71,186,4.34,10,34,27,6.97,3.75,10,25.938901011704
"QB",77,241,4.75,NA,NA,NA,NA,NA,11,28.575307809074
"OT",78,307,5.3,NA,19,NA,NA,NA,52,35.4735371466141
"TE",76,268,4.97,13.5,27,32,NA,NA,144,32.6184210526316
"WR",75,210,4.54,11.5,NA,NA,7.04,NA,164,26.2453333333333
"SS",68,204,4.35,4.5,34,19,6.7,3.91,44,31.0147058823529
"QB",78,243,5.04,15.5,NA,37,7.65,4.62,90,28.0784023668639
"DE",77,271,4.8,13.5,24,38,6.94,4.38,103,32.132400067465
"FS",74,218,4.47,8,31,23,6.68,3.89,67,27.9864864864865
"OT",77,281,5.06,11.5,25,37,7.96,4.68,141,33.3180974869287
"SS",70,204,4.46,7,29,23,NA,NA,95,29.2677551020408
"DE",75,289,4.81,9.5,NA,29,NA,4.32,88,36.1185777777778
"ILB",74,244,4.86,NA,24,NA,NA,NA,127,31.3243243243243
"FS",72,201,4.51,10,30,19,NA,NA,158,27.2575231481481
"CB",70,189,4.62,10,37,26,7,3.88,152,27.1157142857143
"DT",76,344,5.16,21.5,18,54,7.93,4.84,36,41.8684210526316
"OG",75,298,5.07,14,30,36,7.72,4.41,46,37.2433777777778
"DE",75,274,5.03,13,25,39,NA,4.75,135,34.2439111111111
"OLB",74,234,4.67,NA,25,NA,NA,NA,39,30.0405405405405
"WR",70,194,4.78,13.5,NA,33,NA,4.35,214,27.8330612244898
"CB",71,201,4.48,9.5,37,31,NA,NA,73,28.0307478674866
"DE",75,275,4.6,NA,NA,NA,NA,NA,18,34.3688888888889
"QB",75,223,4.95,19.5,NA,46,7.65,4.36,201,27.8700444444444
"OG",75,314,5.1,15.5,20,43,7.75,4.66,34,39.2430222222222
"DT",74,317,4.97,15.5,7,48,7.79,4.66,104,40.6959459459459
"ILB",74,242,4.65,11.5,22,31,6.94,4.08,182,31.0675675675676
"OT",79,350,5.56,18.5,28,49,7.88,4.65,75,39.4247716712065
"DT",75,314,5.08,16.5,22,45,NA,NA,71,39.2430222222222
"C",75,304,5.29,20.5,NA,51,7.64,4.44,100,37.9932444444444
"CB",71,196,4.52,NA,NA,NA,NA,NA,76,27.3334655822257
"QB",72,210,4.9,NA,NA,NA,NA,NA,248,28.4780092592593
"FB",73,245,4.8,13.5,26,33,7.65,4.52,162,32.3203227622443
"WR",73,197,4.46,NA,NA,NA,NA,NA,168,25.9881778945393
"FS",74,230,4.51,NA,NA,NA,NA,NA,5,29.527027027027
"DT",74,290,5.21,19.5,21,47,7.39,4.1,189,37.2297297297297
"OG",77,313,5.2,17,22,42,8.03,4.98,146,37.1123292292123
"OLB",74,241,4.57,7.5,23,18,NA,4,48,30.9391891891892
"CB",73,195,4.44,7.5,32,25,6.82,3.88,70,25.7243385250516
"WR",73,203,4.5,NA,NA,NA,NA,NA,211,26.7796960030024
"CB",72,189,4.5,11,37,30,7.09,4.14,150,25.6302083333333
"CB",70,197,4.5,8.5,NA,25,NA,NA,121,28.2634693877551
"DE",74,254,4.65,12,33,27,7.48,4.46,97,32.6081081081081
"TE",76,265,4.65,NA,NA,NA,NA,NA,40,32.2532894736842
"DT",76,321,5.05,13.5,20,42,NA,NA,23,39.0690789473684
"OLB",76,242,4.61,11.5,28,29,6.94,3.94,196,29.4539473684211
"RB",70,237,4.49,15,27,33,7.5,4.15,154,34.0022448979592
"DE",75,281,4.77,NA,NA,NA,NA,NA,20,35.1187555555556
"CB",70,177,4.49,NA,NA,NA,NA,NA,110,25.3940816326531
"ILB",72,233,4.61,NA,NA,NA,NA,NA,12,31.5970293209877
"CB",71,187,4.31,8.5,35,26,6.84,4.03,124,26.0783574687562
"FS",74,209,4.54,NA,34,NA,NA,NA,89,26.8310810810811
"FS",74,223,4.61,12,35,31,7.06,4.02,236,28.6283783783784
"TE",75,258,4.5,10.5,15,24,7.38,4.11,32,32.2442666666667
"OLB",73,237,4.56,9.5,27,33,7.39,4.35,60,31.2649652842935
"WR",73,188,4.5,NA,NA,NA,NA,NA,54,24.8009007318446
"C",74,300,5.3,15,18,38,7.56,4.35,251,38.5135135135135
"OT",76,312,5.14,14.5,NA,42,8.31,4.58,94,37.9736842105263
"WR",76,226,4.79,5.5,NA,17,NA,4.17,120,27.5065789473684
"DT",73,323,5.08,NA,13,NA,NA,NA,21,42.610058172265
"DT",76,313,5.18,18,24,41,7.97,4.55,179,38.0953947368421
"OLB",73,250,4.55,NA,NA,NA,NA,NA,17,32.9799211859636
"OLB",73,232,4.52,9,33,22,7.02,4.11,101,30.6053668605742
"FS",72,193,4.48,NA,31,22,NA,NA,56,26.1726466049383
"WR",76,229,4.56,NA,NA,NA,NA,NA,9,27.8717105263158
"WR",74,212,4.48,NA,NA,NA,NA,NA,7,27.2162162162162
"SS",72,197,4.47,NA,34,27,NA,NA,136,26.7150848765432
"TE",74,248,4.62,11,25,28,6.88,4.1,61,31.8378378378378
"OT",79,314,5.36,17.5,25,39,7.53,4.49,151,35.369652299311
"RB",69,225,4.6,12.5,23,29,7.68,4.36,219,33.2230623818526
"TE",76,251,4.55,NA,25,27,NA,NA,6,30.5493421052632
"WR",74,202,4.47,7,NA,22,6.93,3.97,31,25.9324324324324
"CB",69,175,4.49,7,36,24,6.7,3.9,192,25.8401596303298
"SS",74,214,NA,7,31,33,6.94,NA,231,27.472972972973
"OT",77,310,5.12,13.5,31,42,7.62,4.6,162,36.7566200033732
"QB",78,242,5.03,17,NA,44,7.67,4.62,213,27.9628533859303
"RB",69,214,4.4,11,31,26,6.81,4.1,44,31.5988237765175
"FS",71,219,4.52,NA,27,NA,NA,NA,66,30.5409640944257
"OG",76,319,5.06,16.5,20,42,7.5,4.46,33,38.8256578947368
"DT",74,286,4.87,16.5,28,38,7.7,4.57,59,36.7162162162162
"TE",77,261,4.74,14.5,33,34,7.05,4.25,249,30.9467026480013
"RB",71,221,4.49,6,29,20,NA,NA,109,30.8198770085301
"OT",78,305,4.92,11,23,41,7.57,4.54,52,35.2424391847469
"OT",79,320,4.87,10.5,NA,35,7.83,4.56,19,36.0455055279603
"CB",73,211,4.37,10.5,28,NA,NA,NA,50,27.8350534809533
"OLB",74,233,4.6,5,24,19,7.11,4.1,90,29.9121621621622
"RB",70,222,4.62,NA,NA,NA,NA,NA,4,31.8502040816327
"OT",77,303,5.18,19,19,51,7.77,4.62,207,35.9266318097487
"FS",75,204,4.52,6.5,35,15,6.92,3.8,208,25.4954666666667
"OLB",75,247,4.7,7,24,21,7.05,4.29,95,30.8695111111111
"OLB",75,236,4.56,12,NA,34,7.08,4.12,160,29.4947555555556
"WR",73,201,4.37,6.5,NA,19,6.96,3.98,39,26.5158566335147
"WR",73,196,4.46,10,NA,NA,NA,NA,195,25.8562582097955
"OT",80,314,5.2,NA,25,NA,NA,NA,164,34.4909375
"RB",71,250,4.59,16,24,39,7.54,4.28,222,34.864114263043
"RB",72,233,4.43,12,31,30,7.1,4.08,2,31.5970293209877
"WR",74,196,4.45,4.5,NA,19,6.99,3.94,35,25.1621621621622
"C",75,313,5.4,15.5,26,42,7.72,4.51,124,39.1180444444444
"OT",78,316,5.06,14.5,NA,38,7.93,4.67,13,36.5134779750164
"OG",77,329,4.93,NA,NA,NA,NA,NA,111,39.0094451003542
"DT",75,337,5.06,14.5,26,41,7.8,4.68,178,42.1175111111111
"OG",76,320,5.35,18,20,36,7.9,4.59,107,38.9473684210526
"FS",72,209,4.46,8.5,NA,29,7.09,4.08,40,28.342399691358
"OLB",75,239,4.58,10,29,17,NA,NA,42,29.8696888888889
"DE",72,267,4.84,11,24,25,7.24,4.41,92,36.2077546296296
"QB",77,230,4.71,NA,NA,NA,NA,NA,25,27.271040647664
"DE",79,279,4.98,NA,NA,NA,NA,NA,132,31.4271751321904
"SS",71,220,4.47,11,28,26,7.18,4.04,117,30.6804205514779
"DT",75,303,4.79,11.5,17,35,NA,NA,28,37.8682666666667
"WR",70,193,4.41,9.5,NA,29,6.95,4.07,22,27.6895918367347
"RB",70,196,4.49,12,32,29,7.13,4.25,201,28.12
"DT",76,293,5.05,NA,15,NA,NA,NA,37,35.6611842105263
"DE",77,254,4.75,NA,NA,NA,NA,NA,53,30.1167144543768
"OLB",74,236,4.7,NA,NA,NA,NA,NA,146,30.2972972972973
"CB",71,206,4.36,6,38,29,6.94,4.16,51,28.7280301527475
"TE",76,267,4.71,NA,28,29,NA,NA,144,32.4967105263158
"FS",72,212,4.5,9,30,30,7.09,3.92,102,28.7492283950617
"C",75,310,5.31,16.5,28,45,7.93,4.56,143,38.7431111111111
"ILB",74,252,4.71,NA,NA,NA,NA,NA,70,32.3513513513513
"WR",70,186,4.49,8,NA,22,7.05,4.07,140,26.685306122449
"CB",73,194,4.54,11,NA,27,6.95,3.97,104,25.5924188403077
"FS",73,230,4.6,9.5,NA,32,7.09,3.97,14,30.3415274910865
"DE",74,273,4.8,9,27,29,7.66,4.44,128,35.0472972972973
"RB",67,200,4.5,8,31,26,7.39,NA,243,31.3210069057697
"TE",76,260,4.72,10,27,34,7.09,4.01,198,31.6447368421053
"WR",75,211,4.45,NA,NA,NA,NA,NA,3,26.3703111111111
"DT",76,305,5.07,18.5,24,44,8,4.79,89,37.1217105263158
"FS",75,213,4.57,NA,28,NA,NA,NA,171,26.6202666666667
"OT",76,324,5.61,17,NA,51,8.11,4.92,93,39.4342105263158
"TE",77,241,4.72,NA,NA,NA,NA,NA,86,28.575307809074
"RB",73,207,4.58,NA,NA,NA,NA,NA,112,27.3073747419779
"DT",74,313,5.24,19,NA,45,8.01,4.68,137,40.1824324324324
"ILB",73,238,4.68,14.5,24,35,7.69,4.45,82,31.3968849690373
"QB",74,232,4.86,15.5,NA,42,7.09,4.07,250,29.7837837837838
"FS",71,191,4.43,2.5,42,NA,NA,NA,80,26.6361832969649
"CB",71,184,4.34,5,35,22,6.78,3.89,97,25.6599880975997
"QB",76,225,4.79,13,NA,34,6.94,4.08,67,27.3848684210526
"FS",73,189,4.44,NA,NA,NA,NA,NA,108,24.9328204165885
"OG",75,304,5.12,16.5,NA,47,7.62,4.51,129,37.9932444444444
"RB",72,222,4.6,10,26,26,7.17,4.1,236,30.1053240740741
"OT",76,322,5.38,21,15,52,7.87,4.62,197,39.1907894736842
"C",76,302,5.09,14,19,42,7.87,4.56,119,36.7565789473684
"WR",76,196,4.55,7.5,NA,21,7.03,4.1,131,23.8552631578947
"RB",69,217,4.58,NA,NA,NA,NA,NA,65,32.0417979416089
"FB",71,251,4.84,15,26,38,7.24,4.21,158,35.0035707200952
"CB",71,198,4.52,8,NA,27,NA,3.9,75,27.6123784963301
"QB",75,226,4.78,14.5,NA,32,7,4.1,85,28.2449777777778
"ILB",72,249,4.6,10.5,17,35,7.1,NA,138,33.7667824074074
"OLB",72,236,4.59,10.5,14,23,7.21,4.07,173,32.0038580246914
"C",77,301,5.21,17.5,23,44,7.62,4.52,169,35.689492325856
"DT",75,321,5.23,19,28,47,8,4.69,175,40.1178666666667
"CB",70,197,4.45,12,32,36,6.87,3.9,60,28.2634693877551
"DE",74,284,4.74,12,16,37,7.38,4.35,189,36.4594594594595
"FB",75,266,4.87,13.5,20,39,7.41,4.24,251,33.2440888888889
"WR",76,197,4.5,NA,NA,NA,NA,NA,83,23.9769736842105
"RB",71,224,4.6,15,32,39,6.95,3.97,244,31.2382463796866
"ILB",73,229,4.65,12,24,31,7.23,4.1,98,30.2096078063427
"CB",69,192,4.45,4,37,23,6.8,4.07,84,28.3503465658475
"C",75,309,5.31,13.5,NA,38,7.49,4.45,151,38.6181333333333
"CB",70,192,4.39,7,34,32,7.16,4.08,215,27.5461224489796
"RB",71,225,4.61,NA,NA,NA,NA,NA,182,31.3777028367387
"C",75,305,4.84,NA,20,NA,NA,NA,81,38.1182222222222
"WR",77,241,4.46,7,NA,NA,NA,NA,61,28.575307809074
"TE",74,266,4.75,13,26,34,7.5,4.48,196,34.1486486486486
"CB",73,198,4.52,10,26,22,6.95,3.96,29,26.1200975792832
"RB",76,267,4.56,9,30,29,7.53,4.46,110,32.4967105263158
"DE",76,266,4.81,8.5,NA,25,7.56,4.37,18,32.375
"DT",74,310,5.1,17.5,NA,45,7.79,4.47,193,39.7972972972973
"DT",76,305,4.91,NA,NA,NA,NA,NA,16,37.1217105263158
"OG",78,321,5.45,18.5,28,43,7.71,4.71,49,37.0912228796844
"OLB",75,242,4.52,8.5,NA,27,7.2,3.87,15,30.2446222222222
"TE",78,242,4.37,6.5,NA,18,NA,NA,21,27.9628533859303
"WR",73,210,4.42,9,NA,33,7.03,4.08,96,27.7031337962094
"CB",69,187,4.38,NA,NA,NA,NA,NA,6,27.6120562906952
"OT",76,319,5.28,14.5,NA,NA,NA,NA,100,38.8256578947368
"OG",75,344,5.34,17,23,49,7.75,4.54,204,42.9923555555556
"CB",68,189,4.43,NA,37,NA,NA,NA,156,28.7342128027682
"QB",72,208,4.56,15,NA,36,7.03,4.09,121,28.2067901234568
"DE",76,257,4.74,7.5,22,26,7.22,4.07,199,31.2796052631579
"OT",78,306,5.3,14,35,46,7.74,4.68,150,35.3579881656805
"WR",75,217,4.5,NA,NA,NA,NA,NA,118,27.1201777777778
"OG",76,307,5.06,14.5,28,52,7.52,4.44,32,37.3651315789474
"WR",72,185,4.51,8,NA,26,6.81,3.95,174,25.0877700617284
"WR",71,181,4.28,10.5,NA,24,NA,NA,114,25.2416187264432
"OG",77,304,4.92,10.5,14,30,7.37,4.16,79,36.0452015516951
"WR",73,211,4.4,9,NA,27,7.19,4.21,226,27.8350534809533
"ILB",72,245,4.5,NA,15,NA,NA,NA,154,33.2243441358025
"CB",72,193,4.44,7.5,26,17,NA,4.04,62,26.1726466049383
"DE",75,262,4.58,12,33,27,7.11,4.07,139,32.7441777777778
"DE",76,272,4.64,NA,24,NA,NA,NA,12,33.1052631578947
"TE",77,256,4.79,NA,NA,NA,NA,NA,30,30.3538539382695
"ILB",74,247,4.85,12.5,34,NA,7.49,4.38,168,31.7094594594595
"RB",68,210,4.46,10,30,30,7.22,4.1,77,31.9269031141869
"DE",77,276,5.05,11.5,30,32,7.38,4.32,180,32.7252487771968
"DE",76,262,4.84,16.5,27,39,7.62,4.5,186,31.8881578947368
"RB",70,212,4.66,12.5,30,39,7.02,4.12,73,30.4155102040816
"ILB",73,235,4.75,NA,24,NA,NA,4.31,78,31.0011259148058
"DT",74,314,5.08,18.5,22,47,8.21,4.64,191,40.3108108108108
"C",76,321,5.29,NA,21,NA,NA,NA,242,39.0690789473684
"WR",73,202,4.39,NA,NA,NA,NA,NA,58,26.6477763182586
"OG",77,300,5.11,NA,24,NA,NA,NA,200,35.5709225839096
"OLB",73,234,4.71,NA,NA,NA,NA,NA,183,30.8692062300619
"SS",73,212,4.56,NA,31,NA,NA,NA,141,27.9669731656971
"OG",78,307,5.15,16.5,27,48,7.5,4.47,254,35.4735371466141
"OT",76,310,5.3,16.5,27,46,8.19,4.72,163,37.7302631578947
"QB",77,225,4.93,16.5,NA,40,7.33,4.39,145,26.6781919379322
"QB",76,233,5.06,19.5,NA,NA,7.38,4.52,106,28.3585526315789
"WR",67,183,4.62,9,NA,31,6.7,3.94,185,28.6587213187792
"WR",70,168,4.37,NA,NA,NA,NA,NA,55,24.1028571428571
"DT",72,292,4.93,NA,23,NA,NA,NA,31,39.5979938271605
"CB",72,204,4.35,4.5,34,22,7.09,3.91,76,27.6643518518519
"RB",69,208,4.63,12,25,33,7.06,4.08,127,30.7128754463348
"CB",71,190,4.49,6,39,21,7.17,4.07,103,26.4967268399127
"WR",74,229,4.46,12,NA,31,7,NA,190,29.3986486486486
"OT",78,347,5.48,NA,NA,NA,NA,NA,209,40.0954963839579
"OLB",75,236,4.69,13.5,27,33,7.29,4.31,227,29.4947555555556
"DE",74,265,4.75,9,24,27,6.86,3.9,17,34.0202702702703
"FS",73,207,4.52,NA,NA,NA,NA,NA,34,27.3073747419779
"DE",75,259,4.59,10.5,23,37,7.27,4.38,125,32.3692444444444
"DT",75,325,5.02,13.5,17,40,7.83,4.44,88,40.6177777777778
"C",77,311,NA,14,28,51,7.57,4.45,122,36.8751897453196
"FS",74,209,4.56,4,37,24,6.94,4.12,123,26.8310810810811
"DE",74,256,4.83,NA,31,NA,NA,NA,212,32.8648648648649
"WR",72,189,4.41,9.5,NA,21,6.6,3.94,68,25.6302083333333
"QB",74,223,4.71,11.5,NA,37,7.38,NA,24,28.6283783783784
"CB",72,196,4.44,5.5,34,21,6.48,3.82,9,26.579475308642
"CB",72,201,4.48,NA,34,NA,NA,NA,8,27.2575231481481
"OT",79,320,5.3,17,30,50,7.72,4.5,41,36.0455055279603
"DE",76,278,4.81,14,23,35,7.65,4.36,46,33.8355263157895
"CB",73,193,4.27,9.5,NA,18,6.63,3.9,38,25.4604991555639
"WR",75,206,4.56,11.5,NA,NA,NA,NA,253,25.7454222222222
"ILB",74,241,4.75,11.5,24,35,7.22,3.94,36,30.9391891891892
"TE",75,249,4.75,13.5,25,33,7.21,4.12,179,31.1194666666667
"FS",72,214,4.44,0,32,14,NA,NA,157,29.0204475308642
"ILB",74,248,4.6,9.5,16,27,7.16,4.11,149,31.8378378378378
"RB",73,246,4.53,7.5,NA,23,7.44,4.08,54,32.4522424469882
"DT",74,301,4.87,12,24,31,7.54,4.31,241,38.6418918918919
"OT",77,318,5.39,18,23,39,7.68,4.43,177,37.7051779389442
"QB",76,217,4.71,14,NA,34,6.82,3.96,1,26.4111842105263
"TE",76,258,4.88,NA,21,NA,NA,NA,71,31.4013157894737
"OG",77,316,5.34,17.5,28,54,7.83,4.83,94,37.4680384550514
"DE",76,307,5.05,NA,NA,NA,NA,NA,20,37.3651315789474
"C",75,309,5.21,14,23,42,8.06,4.59,26,38.6181333333333
"RB",66,187,4.47,13,26,42,6.96,3.96,130,30.1792929292929
"CB",68,172,4.37,3,36,10,6.99,3.9,87,26.1496539792388
"OT",78,314,5.25,NA,25,NA,NA,NA,113,36.2823800131492
"DE",76,270,5,12,26,34,7.35,4.24,184,32.8618421052632
"ILB",72,238,4.83,11,26,34,7.31,4.16,45,32.2750771604938
"OG",74,343,5.42,21.5,22,58,8.17,4.75,134,44.0337837837838
"OT",80,330,5.4,18,NA,51,7.89,4.78,64,36.2484375
"WR",73,188,4.38,NA,NA,NA,NA,NA,116,24.8009007318446
"ILB",72,233,4.62,12,26,33,7.47,NA,48,31.5970293209877
"FS",70,205,4.45,8,30,29,7.12,4.21,115,29.4112244897959
"DE",75,280,5.02,16.5,31,42,7.89,4.53,232,34.9937777777778
"DT",77,310,5,13.5,NA,44,7.78,4.64,216,36.7566200033732
"OLB",74,241,4.73,10.5,39,35,7.45,3.94,166,30.9391891891892
"QB",78,233,4.86,NA,NA,NA,NA,NA,69,26.9229125575279
"OLB",76,251,4.56,7.5,22,25,6.83,4.07,11,30.5493421052632
"WR",72,219,4.71,14.5,NA,NA,NA,NA,225,29.6984953703704
"CB",70,188,4.29,4.5,31,18,NA,3.91,23,26.9722448979592
"CB",72,199,4.5,NA,40,NA,NA,NA,43,26.9863040123457
"OLB",75,244,4.61,5.5,30,17,7.83,4.22,148,30.4945777777778
"FB",74,244,4.64,NA,NA,NA,NA,NA,120,31.3243243243243
"WR",73,207,4.46,NA,NA,NA,NA,NA,27,27.3073747419779
"RB",71,217,4.43,10.5,30,29,6.94,4.15,5,30.2620511803214
"CB",69,176,4.3,7,33,23,6.97,3.96,56,25.9878176853602
"WR",77,229,4.56,9.5,NA,NA,NA,NA,10,27.1524709057177
"WR",73,203,4.32,NA,NA,NA,6.99,NA,7,26.7796960030024
"OT",78,327,5.18,NA,22,NA,NA,NA,105,37.784516765286
"CB",72,185,4.36,6.5,35,22,NA,NA,72,25.0877700617284
"OLB",73,236,4.71,9,27,37,NA,4.38,235,31.1330455995496
"OG",76,312,5.08,11,6,32,7.46,4.37,172,37.9736842105263
"DT",75,306,5.07,15.5,34,44,7.49,4.54,220,38.2432
"RB",71,214,4.4,7.5,31,22,7.09,4.47,30,29.8436818091648
"DE",76,274,4.86,14,27,35,7.37,4.41,113,33.3486842105263
"FS",73,209,4.39,6.5,32,16,6.75,3.81,16,27.5712141114656
"OLB",73,223,4.5,6,19,15,6.9,4.13,77,29.4180896978795
"DE",76,254,4.62,4,29,20,6.95,4.22,159,30.9144736842105
"OLB",75,229,4.59,5,NA,26,6.67,4.07,88,28.6199111111111
"WR",70,192,4.57,12,NA,31,6.88,4.2,251,27.5461224489796
"SS",69,193,4.43,9.5,42,23,6.99,4.27,229,28.498004620878
"WR",74,201,4.35,7,NA,27,7.04,4.16,233,25.8040540540541
"WR",72,212,4.62,9,29,29,NA,NA,109,28.7492283950617
"DE",76,258,4.7,12.5,30,32,7.48,4.52,241,31.4013157894737
"FS",71,203,4.39,9.5,30,20,6.99,4.11,207,28.309660781591
"SS",74,227,4.53,12,32,27,7.25,4.07,101,29.1418918918919
"CB",72,198,4.47,5,NA,14,6.67,4.23,115,26.8506944444444
"FS",74,216,4.57,8.5,33,27,NA,NA,149,27.7297297297297
"OT",77,316,5.41,14.5,26,49,8.36,5.07,176,37.4680384550514
"SS",72,212,4.38,8,31,23,6.91,4.16,40,28.7492283950617
"DT",75,306,5.01,13.5,5,34,NA,NA,14,38.2432
"RB",71,201,4.37,NA,NA,NA,NA,NA,2,28.0307478674866
"OT",77,293,5.3,18,33,41,7.9,4.55,89,34.740934390285
"OT",79,310,5.29,NA,NA,NA,NA,NA,143,34.9190834802115
"TE",75,255,4.79,NA,NA,NA,NA,NA,93,31.8693333333333
"RB",69,201,4.57,14.5,31,23,7.05,4.2,74,29.6792690611216
"OLB",74,256,4.65,NA,NA,NA,NA,NA,18,32.8648648648649
"C",75,303,4.83,14.5,22,41,7.31,4.5,56,37.8682666666667
"OT",78,309,5.28,20,25,45,7.8,4.63,187,35.7046351084813
"QB",74,224,4.89,NA,NA,NA,NA,NA,49,28.7567567567568
"DT",76,304,4.95,12,14,42,7.43,4.35,124,37
"OT",76,299,5.05,13.5,28,37,7.43,4.58,47,36.3914473684211
"WR",77,224,4.5,9,33,24,6.94,4.43,252,26.5596221959858
"OT",79,328,5.47,19.5,21,50,7.93,4.66,51,36.9466431661593
"CB",74,208,4.47,8,31,15,NA,NA,19,26.7027027027027
"QB",74,205,4.88,15.5,NA,43,7.34,4.25,85,26.3175675675676
"QB",75,226,4.77,NA,26,NA,7.1,4.26,11,28.2449777777778
"RB",70,214,4.64,13,28,31,7.13,4.4,132,30.7024489795918
"TE",75,253,4.65,11.5,26,33,6.87,4.1,98,31.6193777777778
"TE",75,254,4.38,4,16,19,7,4.17,6,31.7443555555556
"TE",77,263,4.87,14.5,22,39,7.53,4.37,167,31.1838421318941
"ILB",73,246,4.59,10.5,26,37,7.25,4.39,151,32.4522424469882
"FS",72,209,4.65,9,34,26,6.66,4.17,173,28.342399691358
"DE",71,257,4.75,NA,19,NA,NA,NA,126,35.8403094624082
"DT",75,306,5.01,12,18,37,7.62,4.35,73,38.2432
"DE",77,273,4.81,7,19,33,7.71,4.57,127,32.3695395513577
"OLB",73,235,4.76,13.5,25,32,7.22,4.16,178,31.0011259148058
"C",75,292,5.13,16,21,46,7.59,4.68,198,36.4935111111111
"OT",76,316,5.25,19,29,52,7.97,4.8,108,38.4605263157895
"TE",76,259,4.72,12.5,30,35,6.94,4.34,53,31.5230263157895
"OT",78,312,5.08,NA,NA,NA,NA,NA,4,36.0512820512821
"OLB",73,234,4.78,9,26,31,7.31,4.28,168,30.8692062300619
"RB",69,218,4.5,11,20,28,7.19,NA,246,32.1894559966394
"DE",74,263,4.7,7.5,21,24,7.05,4.08,71,33.7635135135135
"DT",76,300,4.88,13,18,36,7.6,4.45,196,36.5131578947368
"QB",73,217,4.59,12,NA,40,7.12,4.16,194,28.6265715894164
